Boro,OBJECTID,Type,Provider,Park_Wifi,Location,Lat,Long_,X,Y,Location_T,Remarks,City,Zip
QU,282,Limited Free,TimeWarner,Baisley Pond Park,Parking Lot,40.674900000299999,-73.784100000400002,1044137.408760000020266,185234.47899000000325,,,Queens,
QU,283,Limited Free,TimeWarner,Baisley Pond Park,North East of Pond,40.678199999599997,-73.783400000599997,1044328.604900000034831,186437.239051999989897,,,Queens,
QU,284,Limited Free,TimeWarner,Baisley Pond Park,East of Baisley Pond,40.676099999900003,-73.782500000499994,1044580.138189999968745,185672.769780000002356,,,Queens,
QU,285,Limited Free,TimeWarner,Cunningham Park,Baseball Field at Union Tpk and 194th St,40.730600000199999,-73.776700000000005,1046138.322410000022501,205532.733341000013752,,,Queens,
QU,286,Limited Free,TimeWarner,Cunningham Park,Playground at 193rd St and Aberdeen Rd,40.726799999900003,-73.775899999999993,1046363.586389999953099,204148.845689000008861,,,Queens,
QU,287,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Room B3,40.687513000199999,-73.774786000399999,1046709.151970000006258,189836.248985999991419,,,Queens,
QU,288,Limited Free,TimeWarner,Cunningham Park,Near Parking Lot and Tennis Courts,40.7299999998,-73.774000000000001,1046887.198530000052415,205316.054313000000548,,,Queens,
QU,289,Limited Free,TimeWarner,Cunningham Park,Near Parking Lot and Tennis Courts,40.729899999799997,-73.773899999600005,1046915.008189999964088,205279.692837000009604,,,Queens,
QU,290,Limited Free,TimeWarner,Cunningham Park,Near Parking Lot and Tennis Courts,40.730099999700002,-73.773800000400001,1046942.535359999979846,205352.630355000001146,,,Queens,
QU,291,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Room B4,40.688130999800002,-73.773756000399999,1046994.222270000027493,190062.139610999991419,,,Queens,
QU,292,Limited Free,TimeWarner,Cunningham Park,Parking lot at Union Tpk and 196th Pl,40.731300000399997,-73.773699999599998,1046969.121599999954924,205789.898180999996839,,,Queens,
QU,293,Limited Free,TimeWarner,Cunningham Park,Near Parking Lot and Tennis Courts,40.7300999996,-73.773700000299996,1046970.250860000029206,205352.701877000014065,,,Queens,
QU,294,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Room B1,40.688603000199997,-73.773155000000003,1047160.451920000021346,190234.533622999995714,,,Queens,
QU,295,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Room B5,40.688488999900002,-73.773047999599996,1047190.233690000022762,190193.077013000001898,,,Queens,
QU,296,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Workout Room,40.6875779999,-73.772725999900004,1047280.394270000047982,189861.405759999994189,,,Queens,
QU,297,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Center Office,40.688343000000003,-73.772146999599997,1047440.244339999975637,190140.533811000001151,,,Queens,
QU,298,Limited Free,TimeWarner,Railroad Park,West of the Park,40.679499999900003,-73.770700000000005,1047849.971870000008494,186919.830607000010787,,,Queens,
QU,299,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Parking Lot next to basketball fields,40.685201999599997,-73.770516000499995,1047895.564630000037141,188997.36057200000505,,,Queens,
QU,300,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Maintenance Office,40.687610999599997,-73.770473000500004,1047905.19059000001289,189875.05763600001228,,,Queens,
QU,301,Limited Free,TimeWarner,Roy Wilkins Recreation Center,West of the Roy Wilkins Recreation Center,40.687200000399997,-73.7698999996,1048064.495059999986552,189725.736084000003757,,,Queens,
QU,302,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Rehearsal Room,40.687154999599997,-73.769871999599999,1048072.303450000006706,189709.361444999987725,,,Queens,
QU,303,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Center Office,40.687317999800001,-73.769765000600003,1048101.821759999962524,189768.824908999988111,,,Queens,
QU,304,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Room B2,40.687040999600001,-73.769615000300007,1048143.687159999972209,189668.01539899999625,,,Queens,
QU,305,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Family Waiting Area,40.686292999899997,-73.769593,1048150.505389999947511,189395.514303000003565,,,Queens,
QU,306,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Theater Lounge,40.686699999799998,-73.769399999800001,1048203.641109999967739,189543.936579000001075,,,Queens,
QU,307,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Gymnasium,40.687317999999998,-73.769292999399994,1048232.723069999949075,189769.169396000012057,,,Queens,
QU,308,Limited Free,TimeWarner,Roy Wilkins Recreation Center,"Food Pantry, Patio",40.686976000000001,-73.768864000299999,1048352.027299999957904,189644.882898999989266,,,Queens,
QU,309,Limited Free,TimeWarner,Railroad Park,Track and Field - North of Park,40.680000000299998,-73.767799999900006,1048653.847890000091866,187104.113374000007752,,,Queens,
QU,310,Limited Free,TimeWarner,Railroad Park,Southeast Entrance of Park,40.676000000099997,-73.765400000200003,1049323.422010000096634,185648.577243999985512,,,Queens,
QU,311,Limited Free,TimeWarner,Sorrentino Recreation Center,Jeter Reading Room,40.602100000199997,-73.751600000500005,1053227.608100000070408,158735.464402999990853,,,Queens,
QU,312,Limited Free,TimeWarner,Sorrentino Recreation Center,The Hallway between the Art and Game Room,40.602370000000001,-73.751441999400001,1053271.203810000093654,158833.956332000001566,,,Queens,
QU,313,Limited Free,TimeWarner,Sorrentino Recreation Center,Gymnasium,40.6024819999,-73.751332000100007,1053301.633210000116378,158874.847326999995857,,,Queens,
QU,314,Limited Free,TimeWarner,Sorrentino Recreation Center,Computer Resource Center,40.602547999599999,-73.751300000499995,1053310.450780000071973,158898.917816000001039,,,Queens,
QU,315,Limited Free,TimeWarner,Lost Battalion Hall Recreation Center,After School Room,40.731791999899997,-73.865528000099999,1021518.71186999999918,205916.740118999994593,,,Queens,
QU,316,Limited Free,TimeWarner,Lost Battalion Hall Recreation Center,Dining Area,40.731791999899997,-73.865528000099999,1021518.71186999999918,205916.740118999994593,,,Queens,
QU,317,Limited Free,TimeWarner,Lost Battalion Hall Recreation Center,Near the Playground,40.731791999899997,-73.865528000099999,1021518.71186999999918,205916.740118999994593,,,Queens,
QU,318,Limited Free,TimeWarner,Lost Battalion Hall Recreation Center,Gymnasium,40.731791999899997,-73.865528000099999,1021518.71186999999918,205916.740118999994593,,,Queens,
QU,319,Limited Free,TimeWarner,Lost Battalion Hall Recreation Center,Near the 62nd Avenue and 93rd Street Intersection,40.731791999899997,-73.865528000099999,1021518.71186999999918,205916.740118999994593,,,Queens,
BK,320,Limited Free,TimeWarner,Metropolitan Recreation Center,Aerobics Room,40.715005000399998,-73.960381000200002,995233.116144999978133,199774.595907000009902,,,Brooklyn,
BX,321,Limited Free,Cablevision,St. James Park,Lobby/east wing of recreation center,40.673694999799999,-73.934934999700005,1002298.394010000047274,184728.36386099999072,,,Bronx,
BX,322,Limited Free,Cablevision,St. James Park,Lobby/west wing of recreation center,40.673694999799999,-73.934934999700005,1002298.394010000047274,184728.36386099999072,,,Bronx,
MN,323,Limited Free,TimeWarner,Jackie Robinson Park,Computer Lab,40.824807399599997,-73.942324439900005,1000212.386700000031851,239782.041155000013532,,,New York,
MN,324,Limited Free,TimeWarner,Jackie Robinson Park,Maintenance Office,40.824807399599997,-73.942324439900005,1000212.386700000031851,239782.041155000013532,,,New York,
MN,325,Limited Free,TimeWarner,Jackie Robinson Park,Gymnasium,40.824807399599997,-73.942324439900005,1000212.386700000031851,239782.041155000013532,,,New York,
MN,326,Limited Free,TimeWarner,Jackie Robinson Park,Dugout,40.824807399599997,-73.942324439900005,1000212.386700000031851,239782.041155000013532,,,New York,
MN,327,Limited Free,TimeWarner,Jackie Robinson Park,Administrative Office,40.824807399599997,-73.942324439900005,1000212.386700000031851,239782.041155000013532,,,New York,
MN,328,Limited Free,TimeWarner,Jackie Robinson Park,Library,40.824807399599997,-73.942324439900005,1000212.386700000031851,239782.041155000013532,,,New York,
MN,329,Limited Free,TimeWarner,Recreation Center 54,Multi Purpose Room,40.750002000000002,-73.950000000299994,998103.642227999982424,212526.569091000012122,,,New York,
MN,330,Limited Free,TimeWarner,Recreation Center 54,Lobby,40.750002000000002,-73.950000000299994,998103.642227999982424,212526.569091000012122,,,New York,
